item_id	effect_key	eid	Var1	Var2	Var3	conf1	conf2	conf3
6931	One Time Wormhole (Activated)	258	180	0	0	generated:180	zero	zero
6770	One Time Wormhole (Activated)	258	180	0	0	generated:180	zero	zero
6321	Weaken EMP (Activated)	18	20	0	0	confirmed	confirmed	zero
6323	Weaken Energy (Activated)	19	20	0	0	confirmed	confirmed	zero
6322	Weaken Explosive (Activated)	15	20	0	0	confirmed	confirmed	zero
5902	Weaken Chemical (Activated)	17	20	0	0	confirmed	confirmed	zero
6324	Weaken Plasma (Activated)	94	20	0	0	confirmed	confirmed	zero
6320	Weaken Psionic (Activated)	105	20	0	0	confirmed	confirmed	zero
6338	Projectile Energy Conservation (Equip)	259	20	0	0	confirmed	zero	zero
6338	Device Energy Conservation (Equip)	132	10	0	0	confirmed	zero	zero
6338	Equipment Engineering (Equip)	79	10	0	0	confirmed	zero	zero
6338	Reactor Drain (Activated)	198	20	165	0	confirmed	confirmed	zero
6339	Projectile Energy Conservation (Equip)	259	30	0	0	confirmed	zero	zero
6339	Device Energy Conservation (Equip)	132	15	0	0	confirmed	zero	zero
6339	Equipment Engineering (Equip)	79	15	0	0	confirmed	zero	zero
6339	Reactor Drain (Activated)	198	30	180	0	confirmed	confirmed	zero
6340	Projectile Energy Conservation (Equip)	259	30	0	0	confirmed	zero	zero
6340	Device Energy Conservation (Equip)	132	15	0	0	confirmed	zero	zero
6340	Equipment Engineering (Equip)	79	15	0	0	confirmed	zero	zero
6340	Reactor Drain (Activated)	198	30	195	0	confirmed	confirmed	zero
6340	Recharge Reactor (Activated)	16	10	2160	0	confirmed	generated	zero
6933	Long Tractor Beam (Equip)	77	75	0	0	confirmed	zero	zero
6933	Fast Tractor Beam (Equip)	52	158	0	0	confirmed	zero	zero
2483	Boost Beam Range (Equip)	22	78	0	0	confirmed	zero	zero
1885	Equipment Damage Control - Engine (Equip)	65	44	0	0	confirmed	zero	zero
1885	Hull Damage Control (Equip)	28	25	0	0	confirmed	zero	zero
6291	Worsen Beam Handling Self (Activated)	264	16.7	6.7	1200	confirmed	confirmed	confirmed
6291	Worsen Missile Handling Self (Activated)	265	16.7	6.7	1200	confirmed	confirmed	confirmed
6291	Improved Critical Targeting Self (Activated)	248	19	0	0	confirmed	zero	zero
6291	Scan Boost (Equip)	41	999	0	0	confirmed	zero	zero
6292	Improved Powerdown (Equip)	181	1.5	0	0	confirmed	zero	zero
6292	Improved Self Destruct (Equip)	184	1.5	1800	0	confirmed	generated	zero
6292	Increase Reactor Capacity Self (Activated)	252	0	180	0	zero	generated:180	zero
6292	Equipment Damage Magnification - Reactor Self (Activated)	246	180	0	0	generated:180	zero	zero
6292	Boost Projectile Range (Equip)	60	26	0	0	confirmed	zero	zero
6402	Slow Warp (Equip)	168	500	880	0	confirmed	generated	zero
6385	Prospect Skill (Equip)	49	0.73	0	0	confirmed	zero	zero
6386	Prospect Skill (Equip)	49	1.13	0	0	confirmed	zero	zero
6387	Prospect Skill (Equip)	49	1.53	0	0	confirmed	zero	zero
6388	Prospect Skill (Equip)	49	1.93	0	0	confirmed	zero	zero
6389	Prospect Skill (Equip)	49	2.23	0	0	confirmed	zero	zero
6389	Recharge Reactor (Equip)	27	3.5	0	0	confirmed	zero	zero
6389	Increase Ship Signature (Equip)	44	30	0	0	confirmed	zero	zero
6390	Prospect Skill (Equip)	49	2.73	0	0	confirmed	zero	zero
6390	Recharge Reactor (Equip)	27	4.5	0	0	confirmed	zero	zero
6390	Increase Ship Signature (Equip)	44	30	0	0	confirmed	zero	zero
6391	Prospect Skill (Equip)	49	3.13	0	0	confirmed	zero	zero
6391	Recharge Reactor (Equip)	27	5	0	0	confirmed	zero	zero
6392	Prospect Skill (Equip)	49	3.54	0	0	confirmed	zero	zero
6392	Recharge Reactor (Equip)	27	5.5	0	0	confirmed	zero	zero
6393	Prospect Skill (Equip)	49	3.93	0	0	confirmed	zero	zero
6393	Recharge Reactor (Equip)	27	6	0	0	confirmed	zero	zero
6393	Fast Tractor Beam (Equip)	52	165	0	0	confirmed	zero	zero
6393	Increase Ship Signature (Equip)	44	30	0	0	confirmed	zero	zero
6298	Scan Boost (Equip)	41	7500	0	0	confirmed	zero	zero
6298	Increase Ship Signature (Equip)	44	50	0	0	confirmed	zero	zero
2632	Increase Maneuverability (Equip)	34	46	0	0	confirmed	zero	zero
6519	Genesis Effect (Equip)	247	48.5	0	0	confirmed	zero	zero
6519	Equipment Damage Control - Engine (Equip)	65	72	0	0	confirmed	zero	zero
6523	Equipment Damage Control - Shields (Equip)	31	79	0	0	confirmed	zero	zero
6523	Increase Speed (Equip)	51	125	0	0	confirmed	zero	zero
6523	Resist Psionic (Equip)	62	35	0	0	confirmed	zero	zero
6521	Scan Boost (Activated)	11	25	800	0	confirmed	generated	zero
6521	Reduce Ship Signature (Equip)	26	20	0	0	confirmed	zero	zero
6522	Weaken Plasma (Activated)	94	45	280	0	confirmed	confirmed	zero
6522	Equipment Damage Control - Devices (Equip)	40	79	0	0	confirmed	zero	zero
6491	Deflect Chemical (Equip)	29	30	0	0	confirmed	zero	zero
6491	Deflect Impact (Equip)	30	30	0	0	confirmed	zero	zero
6491	Recharge Shields - BOOST (Activated)	116	392	10	0	confirmed	confirmed	zero
2269	Projectile Energy Conservation (Equip)	259	40	0	0	confirmed	zero	zero
6122	Turbo Missile (Equip)	66	40	0	0	confirmed	zero	zero
6131	Turbo Weapons (Equip)	232	5	0	0	confirmed	zero	zero
928	Improved Beam Handling (Equip)	178	1.6	7.8	0	confirmed	generated	zero
928	Improved Critical Targeting (Equip)	36	8.3	0	0	confirmed	zero	zero
1001	Improved Beam Handling (Equip)	178	1.9	8.2	0	confirmed	generated	zero
1001	Improved Critical Targeting (Equip)	36	9.66	9	0	confirmed	generated	zero
1071	Improved Beam Handling (Equip)	178	2.2	8.6	0	confirmed	generated	zero
1071	Improved Critical Targeting (Equip)	36	11	0	0	confirmed	zero	zero
6124	Turbo Projectile (Equip)	78	40	0	0	confirmed	zero	zero
6125	Turbo Beam (Equip)	143	40	0	0	confirmed	zero	zero
7094	Shunt to Shield (Activated)	188	25	25	640	confirmed	confirmed	confirmed
7094	Transfer Reactor Energy (Instant)	9	230	180	0	confirmed	generated:180	zero
7094	Equipment Damage Control - Shields (Equip)	31	45	96	0	confirmed	generated	zero
7094	Weaken Energy (Activated)	19	26	96	0	confirmed	confirmed	zero
7096	Shunt to Shield (Activated)	188	25	25	1120	confirmed	confirmed	confirmed
7096	Transfer Reactor Energy (Instant)	9	705	180	0	confirmed	generated:180	zero
7096	Equipment Damage Control - Shields (Equip)	31	70	0	0	confirmed	zero	zero
7096	Weaken Energy (Activated)	19	35	168	0	confirmed	confirmed	zero
7098	Shunt to Shield (Activated)	188	25	25	960	confirmed	confirmed	confirmed
7098	Transfer Reactor Energy (Instant)	9	518	180	0	confirmed	generated:180	zero
7098	Equipment Damage Control - Shields (Equip)	31	65	0	0	confirmed	zero	zero
7098	Weaken Energy (Activated)	19	30	168	0	confirmed	confirmed	zero
6462	Weaken Impact (Activated)	96	38	168	0	confirmed	confirmed	zero
6462	Boost Projectile Range (Equip)	60	38	0	0	confirmed	zero	zero
2059	Muddle Projectile (Equip)	86	20	0	0	confirmed	zero	zero
6455	Improved Beam Handling (Equip)	178	3.2	9.4	0	confirmed	generated	zero
6455	Reduce Ship Signature (Equip)	26	36	0	0	confirmed	zero	zero
6447	Weaken Explosive (Activated)	15	45	60	0	confirmed	confirmed	zero
6447	Weaken Plasma (Activated)	94	45	60	0	confirmed	confirmed	zero
6447	Beam Energy Conservation (Equip)	90	40	0	0	confirmed	zero	zero
6447	Missile Energy Conservation (Equip)	37	40	0	0	confirmed	zero	zero
6447	Projectile Energy Conservation (Equip)	259	40	0	0	confirmed	zero	zero
6454	Prospect Skill (Equip)	49	2.4	0	0	confirmed	zero	zero
6454	Improved Powerdown (Equip)	181	51.7	0	0	confirmed	zero	zero
6454	Projectile Energy Conservation (Equip)	259	35.8	0	0	confirmed	zero	zero
2430	Loony's Shield Hammer Plasma (Activated)	256	15	0	0	confirmed	zero	zero
2430	Loony's Shield Hammer Impact (Activated)	255	15	0	0	confirmed	zero	zero
2430	Loony's Shield Hammer Energy (Activated)	254	15	0	0	confirmed	zero	zero
6518	Boost Missile Range (Equip)	24	12	0	0	confirmed	zero	zero
6518	Missile Energy Conservation (Equip)	37	10	0	0	confirmed	zero	zero
2790	Equipment Engineering (Equip)	79	56	0	0	confirmed	zero	zero
7122	Create Cobalt Ten-Gu Fangs (Activated)	242	180	0	0	generated:180	zero	zero
6450	Improved Build Devices Minor (Equip)	64	0.15	0	0	confirmed	zero	zero
6450	Improved Build Weapons Minor (Equip)	200	0.15	0	0	confirmed	zero	zero
6450	Improved Build Reactors Minor (Equip)	201	0.15	0	0	confirmed	zero	zero
6450	Improved Build Engines (Equip)	211	0.15	0	0	confirmed	zero	zero
6450	Improved Build Shields Minor (Equip)	214	0.15	0	0	confirmed	zero	zero
3795	Recharge Shields Skill (Equip)	25	3.73	0	0	confirmed	zero	zero
6318	Weaken Energy (Activated)	19	26	30	0	confirmed	confirmed	zero
2071	Equipment Engineering (Equip)	79	45	0	0	confirmed	zero	zero
2157	Equipment Engineering (Equip)	79	50	0	0	confirmed	zero	zero
2246	Equipment Engineering (Equip)	79	55	0	0	confirmed	zero	zero
2347	Equipment Engineering (Equip)	79	60	0	0	confirmed	zero	zero
2445	Equipment Engineering (Equip)	79	65	0	0	confirmed	zero	zero
2446	Recharge Shields (Equip)	61	20	0	0	confirmed	zero	zero
2470	Projectile Energy Conservation (Equip)	259	40	0	0	confirmed	zero	zero
6667	Fast Tractor Beam (Equip)	52	23	0	0	confirmed	zero	zero
6667	Long Tractor Beam (Equip)	77	34	0	0	confirmed	zero	zero
6668	Fast Tractor Beam (Equip)	52	39	0	0	confirmed	zero	zero
