reason,mob_name,item_name,resolved_mob_ids,resolved_item_ids,note
mob_missing,''pls update when known'',Diamond Scale,,3800,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,7th Circle Chavez Mechanic,Petit-Grand Ogun,,2706,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,7th Circle Chavez Scout,Grand Petro,,2057,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,7th Circle Chavez Scout,Petit Ayza,,1866,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,7th Circle Chavez Scout,Petit-Grand Petro,,1971,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ah Kung Ghost Spectre,Laser Scope Novem,,2472,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ah Kung Initiate Dragon,Silver Scale,,3708,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Au Kung Elite Red Dragon,BlackBox T62,,1496,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Au Kung Elite Red Dragon,BlackBox U88,,1562,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,Armadillo Plate L3,,1887,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,Cat's Paw L3,,1888,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,Dolphin Tail L3,,1890,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,Eagle Wing L3,,1891,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,Leopard Spots L3,,1893,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,"RE-X1 ""Brown Dwarf"" Mk. III",,3214,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,"RE-X7 ""Supergiant"" Mk. III",,3206,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,"SH-X1 ""Terrier"" Mk. III",,3662,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,"SH-X4 ""Akita"" Mk. III",,3663,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Popper,"SH-X7 ""Mastiff"" Mk. III",,3659,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,Armadillo Plate L3,,1887,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,Cat's Paw L3,,1888,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,Dolphin Tail L3,,1890,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,Eagle Wing L3,,1891,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,Leopard Spots L3,,1893,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,"RE-X1 ""Brown Dwarf"" Mk. III",,3214,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,"RE-X7 ""Supergiant"" Mk. III",,3206,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,"SH-X1 ""Terrier"" Mk. III",,3662,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,"SH-X4 ""Akita"" Mk. III",,3663,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Audrey the Weed Poppper,"SH-X7 ""Mastiff"" Mk. III",,3659,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Awned Xiphoid Sickle,Basic Eye Stalk,102,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Bardon Nesrith,Jackal,,874,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bardon Nesrith,Shark Fin L4,,1980,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bardon Nesrith,Silent Harrier,,2550,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bardon Nesrith,Sleeping Great Dane,,972,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Belter Sam the Starstruck,Badger's Claw L4,,6388,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Belter Sam the Starstruck,Belter's Fury - Chemical,,6516,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Belter Sam the Starstruck,Belter's Fury - Explosive,,6517,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Belters,Landing Strut,,6044,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Bio-Wraith,Half-Eaten Alient Space Suit,145,,item name not in item_base -- needs a Phase Y7 item_base row
item_missing,Bio-Wraith,Mutilated Parts,145,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Black Leviathan,Sumter VII,,3742,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Blackbeard's Cultist,Prismatic Dragon Wing,,2644,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Blinding Voltai Wisp,Normandy Max,,3796,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Blood Commander Pacoma,Onyx Ogun,,2729,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Boatswain Gibbens,Black Power IX,,6129,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Boatswain Gibbens,Black Power VIII,,6132,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Body Stealers,Decayed Human Bones,,4017,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Greyhair,Manifesto Fragment 1,,5097,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Greyhair,Manifesto Fragment 2,,5098,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Greyhair,Manifesto Fragment 4,,5100,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Greyhair,Varnished Gunrack,,5733,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Militia kenel,Manifesto Fragment 3,,5099,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Militia ser'jin,Manifesto Fragment 1,,5097,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Militia ser'jin,Manifesto Fragment 4,,5100,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Militia ser'jin,Manifesto Fragment 5,,5101,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Bogeril Militya Sar'jin,Playin' Possum,,3863,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Booboomba,BooBoomba's Ritual Stick,,5920,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Brain,Corona Australis Minor PR 5,,2112,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Brawns,"DV-PR-X3 ""Buckler"" Mk. V",,2069,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Buddy Herlinsson ''(Free Spacers)'',"ML-X4 ""Orb Weaver"" Mk. III",,2684,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,"CL41 Gelatinous Ceelite spawned from L8 Pop ""rocks""",Ninja's Kama M7,,3137,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Fernando Ortiz,Baron Cimetiere's Afefe,,2536,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Fernando Ortiz,Baron Cimetiere's Ala,,3655,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Fernando Ortiz,Baron Cimetiere's Eje,,3227,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Fernando Ortiz,BlackBox G12,,1273,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Fernando Ortiz,Chavez Hydroponics Equipment,,5449,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Fernando Ortiz,Chavez Pictozine,,5450,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Fernando Ortiz,Ironwood Reliquary,,3966,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Captain Wei-han Zeng,Angry Blue Gaze,,780,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Centuria Patrol Guard,Waterloo V,,3701,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Centuriata Warrior,Warrior Heart Beta,2052,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Centurion Magnus,Titus VI,,3282,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Centurion Magnus,Warrior's Heart Alpha,,3284,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Centurion Magnus,Waterloo VI,,3720,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez,BlackBox G12,,1273,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez,CE3K Model 2,,1274,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez,"DV-IR-X3 ""Tower"" Mk. VI",,2169,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez,Malicious Gaze,,768,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez,Ogun Plasma Missile,,554,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez ''(suspected)'',Dragonflight Copper,,2553,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,Communications Array,,6048,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,Cygnus NGC 8,,3324,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,"DV-EN-X3 ""GreaseMonkey"" Mk. VIII",,2347,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,"DV-EP-X3 ""GreaseMonkey Plus"" Mk. VIII",,2348,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,ML-X10 EMP Missile,,717,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,Musca Major RS 8,,2403,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,No 1 Most Jolting EMP Beam AA,,1131,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,Phoenix Major BTE 8,,2404,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,Sensor-Reflective Plating,,6050,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Juan Garcia,Telescopium Major BISR 8,,2410,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,BlackBox T62,,1496,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,Communication Antenna,,6041,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,Communications Array,,6048,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,Cyclo Power Exchange,,1568,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,Cygnus NGC 8,,3324,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,"DV-EN-X3 ""GreaseMonkey"" Mk. VIII",,2347,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,Lepus Major IFSS 8,,2401,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,No 1 Most Jolting EMP Beam AA,,1131,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Pablo Ruiz,Sensor-Reflective Plating,,6050,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Salvador Vasquez,Banded Hawk,,2632,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Salvador Vasquez,Communications Array,,6048,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Salvador Vasquez,Lepus Major IFSS 8,,2401,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Salvador Vasquez,ML-X10 EMP Missile,,717,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Salvador Vasquez,Phoenix Major BTE 8,,2404,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Salvador Vasquez,Sensor-Reflective Plating,,6050,mob name not in mob_base -- needs a Phase Y6 mob_base row
